,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
27411,43493,1.0,1,,Belgium,Leuven,,NON_FLOOD_ZONE,,,,,15.0,Leuven,120.0,4.0,A+,3000,540,11456670,Flemish Brabant,Flanders,1.0,0.0,AS_NEW,house,0.0,,,1.0,1,residential_monthly_rent
27412,43494,1.0,3,,Belgium,Nivelles,1.0,,,,,SEMI_EQUIPPED,178.0,RIXENSART,0.0,,G,1330,1700,20007329,Walloon Brabant,Wallonie,,0.0,GOOD,house,0.0,,,0.0,1,residential_monthly_rent
27427,43522,1.0,4,,Belgium,Tournai,,,,1.0,200.0,INSTALLED,100.0,Bléharies,25.0,2.0,F,7620,850,20007286,Hainaut,Wallonie,,,,house,0.0,,,,1,residential_monthly_rent
27431,43527,1.0,3,,Belgium,Turnhout,,,,,,SEMI_EQUIPPED,162.0,OLEN,0.0,3.0,D,2250,890,20007274,Antwerp,Flanders,,0.0,GOOD,house,0.0,,,0.0,1,residential_monthly_rent
27434,43530,1.0,4,,Belgium,Turnhout,,NON_FLOOD_ZONE,,,,SEMI_EQUIPPED,139.0,Herentals,0.0,2.0,C,2200,995,20007275,Antwerp,Flanders,,0.0,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
27437,43533,1.0,3,2024.0,Belgium,Antwerp,,,,,,HYPER_EQUIPPED,100.0,Edegem,0.0,2.0,A,2650,1300,20007266,Antwerp,Flanders,,1.0,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
27470,43566,1.0,2,1899.0,Belgium,Leuven,,NON_FLOOD_ZONE,,,,,101.0,Leuven,0.0,2.0,B,3000,1195,11456651,Flemish Brabant,Flanders,1.0,0.0,GOOD,house,40.0,,,1.0,1,residential_monthly_rent
27471,43567,3.0,4,,Belgium,Dendermonde,,,,1.0,40.0,INSTALLED,251.0,Wetteren,0.0,2.0,C,9230,1600,11456640,East Flanders,Flanders,,,JUST_RENOVATED,house,0.0,0.0,,2.0,1,residential_monthly_rent
27509,43608,2.0,3,,Belgium,Nivelles,,,,,,HYPER_EQUIPPED,220.0,Braine-le-Château Wauthier-Braine,0.0,4.0,B,1440,1800,11456567,Walloon Brabant,Wallonie,,2.0,GOOD,house,700.0,,1.0,3.0,1,residential_monthly_rent
27533,43632,1.0,3,,Belgium,Thuin,,,,,,INSTALLED,170.0,Estinnes Rouveroy,0.0,4.0,G,7120,1325,20007213,Hainaut,Wallonie,,1.0,AS_NEW,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
27559,43658,1.0,4,2024.0,Belgium,Aalst,,,,,,HYPER_EQUIPPED,240.0,Haaltert Heldergem,0.0,3.0,,9450,1650,20007183,East Flanders,Flanders,,1.0,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
27638,43740,1.0,3,2019.0,Belgium,Gent,,,,1.0,1.0,INSTALLED,,Deinze,0.0,2.0,,9800,1250,11456456,East Flanders,Flanders,,,AS_NEW,house,198.0,0.0,,2.0,1,residential_monthly_rent
27665,43767,2.0,4,,Belgium,Halle-Vilvoorde,,,,,,INSTALLED,211.0,MERCHTEM,0.0,3.0,,1785,1700,20007119,Flemish Brabant,Flanders,,0.0,,house,0.0,,1.0,2.0,1,residential_monthly_rent
27672,43774,1.0,5,1990.0,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,1.0,HYPER_EQUIPPED,244.0,Waterloo,0.0,4.0,C,1410,2800,20007115,Walloon Brabant,Wallonie,,2.0,GOOD,villa,1000.0,1.0,1.0,4.0,1,residential_monthly_rent
27673,43775,1.0,6,,Belgium,Brussels,,,,,,,180.0,UCCLE,0.0,2.0,D,1180,2900,20007112,Brussels,Brussels,,3.0,JUST_RENOVATED,house,0.0,,1.0,3.0,1,residential_monthly_rent
27728,43833,,3,2019.0,Belgium,Neufchâteau,,,,,,,160.0,Léglise,0.0,3.0,A++,6860,1650,11456414,Luxembourg,Wallonie,,2.0,,house,1256.0,0.0,,2.0,1,residential_monthly_rent
27735,43841,1.0,3,2024.0,Belgium,Aalst,,,,,,,215.0,Zottegem,0.0,3.0,,9620,1150,11456392,East Flanders,Flanders,,,GOOD,house,190.0,0.0,1.0,,1,residential_monthly_rent
